source,domain,method,usable_transfer,url_or_path
Local blueprint PDF,machining,"tiered surrogate, physics-informed hybrid, optimization",Keep analytical equation plus ML surrogate; expose uncertainty and optimize only within observed parameter ranges.,ML-Driven Cutting Tool Simulation and Life Optimization_ A Research Blueprint.pdf
NASA milling readme,machining,case-level tool wear under feed/depth/material settings,Use NASA as late-stage/material evidence; do not merge its feed units blindly with NUAA feed per tooth.,data/nasa_milling/Readme.pdf
PHM public dataset inventory,PHM,run-to-failure dataset taxonomy,Use time-to-event framing and keep censored records instead of dropping non-failures.,data list paper.pdf
QIT-CEMC Scientific Data 2025,machining,full-life multimodal milling data,Next external validation target for full lifecycle wear and force/torque features.,https://www.nature.com/articles/s41597-024-04345-2
Piecuch-Zabinski Scientific Data 2025,machining,tool-wise grouped validation for tool-life estimation,"Validate by held-out tool, not random cycle split.",https://www.nature.com/articles/s41597-025-04923-y
PHM Society review 2018,PHM,"regression, RF, ANN, Bayesian linear regression, GPR for RUL",Use model families as baselines and report whether the model predicts health or time-to-event.,https://papers.phmsociety.org/index.php/phmconf/article/download/462/phmc_18_462
Sankararaman and Goebel 2013,PHM uncertainty,RUL uncertainty propagation,"Report intervals and uncertainty sources, not only point estimates.",https://papers.phmsociety.org/index.php/phmconf/article/view/2263
GPR RUL PHM 2022,PHM,Gaussian process RUL with small data and uncertainty,Include GPR as a small-data baseline; keep intervals as future work if calibrated externally.,https://papers.phmsociety.org/index.php/phmconf/article/view/3220
DeepSurv,biomedicine,Cox neural network survival model,Use survival/time-to-event framing for censored tool-life data; deep version is data-hungry here.,https://arxiv.org/abs/1606.00931
Physics-informed GP for tool wear,machining,physical mean function plus GP residual,"For small labels, constrain probabilistic models with a wear law rather than pure black-box fitting.",https://pubmed.ncbi.nlm.nih.gov/37770369/
Drouillet et al. 2016,machining,neural-network RUL using spindle-power RMS,Use sensor-derived health indicators as additional life predictors once enough run-to-failure records exist.,https://impact.ornl.gov/en/publications/tool-life-predictions-in-milling-using-spindle-power-with-the-neu
PI-KAF 2025,machining,physics-informed interpretable neural monitoring,"Prefer constrained, interpretable networks over unconstrained deep models for limited tool-wear labels.",https://www.sciencedirect.com/science/article/abs/pii/S0278612525002833
